CI,N/A,Cigna Corporation Common Stock,N/A,37.90B,N/A,2/1/2017,N/A,4:02pm,N/A,+0.97%,N/A,1254488,N/A,1332660
XEC,N/A,Cimarex Energy Co Common Stock,N/A,12.68B,N/A,2/1/2017,N/A,4:02pm,N/A,-1.26%,N/A,1278378,N/A,933971
CINF,N/A,Cincinnati Financial Corporatio,N/A,11.54B,N/A,2/1/2017,N/A,4:00pm,N/A,-0.74%,N/A,524066,N/A,637205
CTAS,N/A,Cintas Corporation,N/A,12.06B,N/A,2/1/2017,N/A,4:00pm,N/A,-1.09%,N/A,774562,N/A,678834
CSCO,N/A,"Cisco Systems, Inc.",N/A,153.10B,N/A,2/1/2017,N/A,4:00pm,N/A,-0.72%,N/A,19504565,N/A,22593300
C,N/A,"Citigroup, Inc. Common Stock",N/A,155.39B,N/A,2/1/2017,N/A,4:00pm,N/A,+0.39%,N/A,17441473,N/A,22744200
CFG,N/A,"Citizens Financial Group, Inc. ",N/A,18.68B,N/A,2/1/2017,N/A,4:02pm,N/A,+0.88%,N/A,4795907,N/A,5988640
CTXS,N/A,"Citrix Systems, Inc.",N/A,11.27B,N/A,2/1/2017,N/A,4:00pm,N/A,-1.89%,N/A,5760295,N/A,1339210
CME,N/A,CME Group Inc.,N/A,41.03B,N/A,2/1/2017,N/A,4:00pm,N/A,-0.15%,N/A,2795623,N/A,1793800
CMS,N/A,CMS Energy Corporation Common S,N/A,11.76B,N/A,2/1/2017,N/A,4:01pm,N/A,-0.35%,N/A,3072079,N/A,1881500
COH,N/A,"Coach, Inc. Common Stock",N/A,10.60B,N/A,2/1/2017,N/A,4:02pm,N/A,+1.23%,N/A,8912876,N/A,3346260
CTSH,N/A,"Cognizant Technology Solutions ",N/A,31.82B,N/A,2/1/2017,N/A,4:00pm,N/A,-0.27%,N/A,7478443,N/A,6375320
CL,N/A,Colgate-Palmolive Company Commo,N/A,57.45B,N/A,2/1/2017,N/A,4:03pm,N/A,+0.22%,N/A,4916431,N/A,3888540
CMCSA,N/A,Comcast Corporation,N/A,182.22B,N/A,2/1/2017,N/A,4:00pm,N/A,+0.25%,N/A,9002111,N/A,10891400
CMA,N/A,Comerica Incorporated Common St,N/A,11.94B,N/A,2/1/2017,N/A,4:01pm,N/A,+0.90%,N/A,1212534,N/A,2153520
CAG,N/A,"ConAgra Brands, Inc. Common Sto",N/A,16.95B,N/A,2/1/2017,N/A,4:02pm,N/A,-0.38%,N/A,2922234,N/A,3517210
CXO,N/A,Concho Resources Inc. Common St,N/A,19.71B,N/A,2/1/2017,N/A,4:01pm,N/A,+0.27%,N/A,1113270,N/A,1494920
COP,N/A,ConocoPhillips Common Stock,N/A,60.09B,N/A,2/1/2017,N/A,4:00pm,N/A,-0.53%,N/A,10040876,N/A,7036170
ED,N/A,"Consolidated Edison, Inc. Commo",N/A,22.35B,N/A,2/1/2017,N/A,4:01pm,N/A,-1.37%,N/A,1766300,N/A,1685930
STZ,N/A,"Constellation Brands, Inc. Comm",N/A,29.38B,N/A,2/1/2017,N/A,4:03pm,N/A,+0.06%,N/A,1700768,N/A,2250990
GLW,N/A,Corning Incorporated Common Sto,N/A,24.93B,N/A,2/1/2017,N/A,4:03pm,N/A,-1.06%,N/A,9607376,N/A,7877010
COST,N/A,Costco Wholesale Corporation,N/A,71.10B,N/A,2/1/2017,N/A,4:00pm,N/A,-1.27%,N/A,2219682,N/A,2197430
CCI,N/A,Crown Castle International Corp,N/A,30.51B,N/A,2/1/2017,N/A,4:01pm,N/A,-1.34%,N/A,2286486,N/A,2692730
CSRA,N/A,CSRA Inc. Common Stock,N/A,5.16B,N/A,2/1/2017,N/A,4:02pm,N/A,+1.71%,N/A,804406,N/A,1348680
CSX,N/A,CSX Corporation,N/A,44.11B,N/A,2/1/2017,N/A,4:00pm,N/A,+1.51%,N/A,11808919,N/A,12279400
CMI,N/A,Cummins Inc. Common Stock,N/A,24.69B,N/A,2/1/2017,N/A,4:01pm,N/A,+0.21%,N/A,1301224,N/A,1571290
CVS,N/A,CVS Health Corporation Common S,N/A,83.15B,N/A,2/1/2017,N/A,4:02pm,N/A,-1.07%,N/A,6463085,N/A,8658800
DHI,N/A,"D.R. Horton, Inc. Common Stock",N/A,11.08B,N/A,2/1/2017,N/A,4:01pm,N/A,-0.44%,N/A,6006651,N/A,5084410
DHR,N/A,Danaher Corporation Common Stoc,N/A,57.78B,N/A,2/1/2017,N/A,4:04pm,N/A,-0.45%,N/A,4643245,N/A,3266270
DRI,N/A,"Darden Restaurants, Inc. Common",N/A,8.96B,N/A,2/1/2017,N/A,4:02pm,N/A,-1.50%,N/A,1898914,N/A,1730220
DVA,N/A,DaVita Inc. Common Stock,N/A,12.76B,N/A,2/1/2017,N/A,4:02pm,N/A,+1.38%,N/A,1474997,N/A,1803900
DE,N/A,Deere & Company Common Stock,N/A,33.95B,N/A,2/1/2017,N/A,4:01pm,N/A,+0.09%,N/A,1375056,N/A,3097070
DLPH,N/A,"Delphi Automotive plc Ordinary ",N/A,19.23B,N/A,2/1/2017,N/A,4:01pm,N/A,+1.34%,N/A,2033157,N/A,2413920
DAL,N/A,"Delta Air Lines, Inc. Common St",N/A,34.59B,N/A,2/1/2017,N/A,4:00pm,N/A,+0.04%,N/A,8377490,N/A,8416930
XRAY,N/A,DENTSPLY SIRONA Inc.,N/A,13.14B,N/A,2/1/2017,N/A,4:00pm,N/A,+0.35%,N/A,1602966,N/A,1666320
DVN,N/A,Devon Energy Corporation Common,N/A,23.84B,N/A,2/1/2017,N/A,4:01pm,N/A,+0.00%,N/A,3566555,N/A,4842040
DO,N/A,"Diamond Offshore Drilling, Inc.",N/A,2.25B,N/A,2/1/2017,N/A,4:00pm,N/A,+0.00%,N/A,3220693,N/A,2648140
DLR,N/A,"Digital Realty Trust, Inc. Comm",N/A,16.91B,N/A,2/1/2017,N/A,4:02pm,N/A,-1.14%,N/A,1019948,N/A,1494890
DFS,N/A,Discover Financial Services Com,N/A,26.75B,N/A,2/1/2017,N/A,4:01pm,N/A,-0.74%,N/A,2763253,N/A,2778360
DISCA,N/A,"Discovery Communications, Inc.",N/A,12.81B,N/A,2/1/2017,N/A,4:00pm,N/A,-1.09%,N/A,2662711,N/A,2954450
DISCK,N/A,"Discovery Communications, Inc.",N/A,12.52B,N/A,2/1/2017,N/A,4:00pm,N/A,-1.12%,N/A,1111980,N/A,1525980
DG,N/A,Dollar General Corporation Comm,N/A,20.28B,N/A,2/1/2017,N/A,4:02pm,N/A,-0.58%,N/A,2608162,N/A,3155180
DLTR,N/A,"Dollar Tree, Inc.",N/A,18.03B,N/A,2/1/2017,N/A,4:00pm,N/A,-1.04%,N/A,1853993,N/A,2836030
D,N/A,"Dominion Resources, Inc. Common",N/A,45.03B,N/A,2/1/2017,N/A,4:01pm,N/A,-5.81%,N/A,7279632,N/A,2606060
DOV,N/A,Dover Corporation Common Stock,N/A,12.15B,N/A,2/1/2017,N/A,4:00pm,N/A,+0.60%,N/A,1238110,N/A,1451110
DOW,N/A,Dow Chemical Company (The) Comm,N/A,66.70B,N/A,2/1/2017,N/A,4:01pm,N/A,+1.12%,N/A,5602749,N/A,6970710
DPS,N/A,"Dr Pepper Snapple Group, Inc Dr",N/A,16.61B,N/A,2/1/2017,N/A,4:02pm,N/A,-0.87%,N/A,1000537,N/A,1401140
DTE,N/A,DTE Energy Company Common Stock,N/A,17.57B,N/A,2/1/2017,N/A,4:01pm,N/A,-0.72%,N/A,1397760,N/A,991861
DD,N/A,E.I. du Pont de Nemours and Com,N/A,65.88B,N/A,2/1/2017,N/A,4:05pm,N/A,+1.11%,N/A,2211438,N/A,2889940
DUK,N/A,Duke Energy Corporation (Holdin,N/A,53.30B,N/A,2/1/2017,N/A,4:01pm,N/A,-1.50%,N/A,3455080,N/A,3330650
DNB,N/A,Dun & Bradstreet Corporation (T,N/A,4.51B,N/A,2/1/2017,N/A,4:03pm,N/A,+0.03%,N/A,158799,N/A,226582
ETFC,N/A,E*TRADE Financial Corporation,N/A,10.32B,N/A,2/1/2017,N/A,4:00pm,N/A,+0.35%,N/A,4089254,N/A,2956780
EMN,N/A,Eastman Chemical Company Common,N/A,11.47B,N/A,2/1/2017,N/A,4:02pm,N/A,+1.03%,N/A,1377713,N/A,1402750
ETN,N/A,"Eaton Corporation, PLC Ordinary",N/A,32.21B,N/A,2/1/2017,N/A,4:01pm,N/A,+0.75%,N/A,3919539,N/A,2693080
EBAY,N/A,eBay Inc.,N/A,35.59B,N/A,2/1/2017,N/A,4:00pm,N/A,+1.10%,N/A,9700776,N/A,10584900
ECL,N/A,Ecolab Inc. Common Stock,N/A,35.21B,N/A,2/1/2017,N/A,4:02pm,N/A,+0.54%,N/A,795627,N/A,943905
EIX,N/A,Edison International Common Sto,N/A,23.33B,N/A,2/1/2017,N/A,4:01pm,N/A,-1.76%,N/A,1413381,N/A,1660440
EW,N/A,Edwards Lifesciences Corporatio,N/A,20.96B,N/A,2/1/2017,N/A,4:01pm,N/A,+1.85%,N/A,3191315,N/A,2233650
EA,N/A,Electronic Arts Inc.,N/A,25.05B,N/A,2/1/2017,N/A,4:00pm,N/A,-0.52%,N/A,7608012,N/A,3099330
EMC,N/A,EMC Corporation,N/A,N/A,N/A,9/6/2016,N/A,3:00pm,N/A,+0.00%,N/A,0,N/A,15612900
EMR,N/A,Emerson Electric Company Common,N/A,37.78B,N/A,2/1/2017,N/A,4:00pm,N/A,+0.20%,N/A,2954532,N/A,3638010
ENDP,N/A,Endo International plc,N/A,2.75B,N/A,2/1/2017,N/A,4:00pm,N/A,+0.82%,N/A,5350514,N/A,6207430
ETR,N/A,Entergy Corporation Common Stoc,N/A,12.67B,N/A,2/1/2017,N/A,4:02pm,N/A,-1.28%,N/A,1329916,N/A,1451300
EOG,N/A,"EOG Resources, Inc. Common Stoc",N/A,58.22B,N/A,2/1/2017,N/A,4:00pm,N/A,-0.57%,N/A,3028543,N/A,3632520
EQT,N/A,EQT Corporation Common Stock,N/A,10.50B,N/A,2/1/2017,N/A,4:01pm,N/A,+0.25%,N/A,4016086,N/A,1836810
EFX,N/A,"Equifax, Inc. Common Stock",N/A,14.04B,N/A,2/1/2017,N/A,4:01pm,N/A,-0.06%,N/A,825903,N/A,917844
EQIX,N/A,"Equinix, Inc.",N/A,27.22B,N/A,2/1/2017,N/A,4:00pm,N/A,-0.96%,N/A,471752,N/A,611177
EQR,N/A,Equity Residential Common Share,N/A,21.90B,N/A,2/1/2017,N/A,4:01pm,N/A,-1.43%,N/A,4693219,N/A,2293730
ESS,N/A,"Essex Property Trust, Inc. Comm",N/A,14.53B,N/A,2/1/2017,N/A,4:01pm,N/A,-1.15%,N/A,314074,N/A,415374
EL,N/A,"Estee Lauder Companies, Inc. (T",N/A,29.29B,N/A,2/1/2017,N/A,4:00pm,N/A,-1.59%,N/A,4869491,N/A,2172280
ES,N/A,Eversource Energy (D/B/A) Commo,N/A,17.33B,N/A,2/1/2017,N/A,4:02pm,N/A,-1.12%,N/A,1298557,N/A,1514590
EXC,N/A,Exelon Corporation Common Stock,N/A,32.73B,N/A,2/1/2017,N/A,4:01pm,N/A,-1.20%,N/A,6461018,N/A,6389570
EXPE,N/A,"Expedia, Inc.",N/A,18.12B,N/A,2/1/2017,N/A,4:00pm,N/A,-0.67%,N/A,1128568,N/A,1951620
EXPD,N/A,Expeditors International of Was,N/A,9.43B,N/A,2/1/2017,N/A,4:00pm,N/A,+0.40%,N/A,1444101,N/A,1527700
ESRX,N/A,Express Scripts Holding Company,N/A,42.61B,N/A,2/1/2017,N/A,4:00pm,N/A,+0.33%,N/A,3597957,N/A,4381420
EXR,N/A,"Extra Space Storage Inc Common ",N/A,9.01B,N/A,2/1/2017,N/A,4:01pm,N/A,-0.57%,N/A,801028,N/A,979616
XOM,N/A,"Exxon Mobil Corporation Common ",N/A,343.93B,N/A,2/1/2017,N/A,4:00pm,N/A,-1.13%,N/A,15111832,N/A,11418900
